#{"t_start": 1753303398.074999, "env_id": "highway-fast-v0"}
r,l,t
2.846021,4,1.034549
6.678107,8,1.135265
5.097383,7,1.218082
1.732711,3,1.256809
5.119289,8,1.35121
3.966086,6,1.42431
12.464612,17,1.6189
16.245819,22,1.869925
3.578379,5,1.930383
2.879667,4,1.97946
3.812646,5,2.040345
5.398545,8,2.136991
5.697959,8,2.2628
12.798425,15,2.441193
13.564801,18,2.657221
2.978906,4,2.705686
6.068186,8,2.805023
16.118067,23,3.064613
9.834706,12,3.206659
1.699377,3,3.24408
5.517208,7,3.329067
2.515775,4,3.378906
5.696622,8,3.473216
6.479308,8,3.567125
14.816241,21,3.80953
17.952159,24,4.086456
15.716335,22,4.377113
3.645712,5,4.44115
2.498757,4,4.493256
6.452264,10,4.614094
22.762896,30,4.954226
3.612536,5,5.017218
1.766667,3,5.055782
9.632455,14,5.221701
19.796413,28,5.545831
23.783157,30,5.916499
1.051567,2,5.943975
2.732397,4,5.992428
22.415741,30,6.349333
15.664829,21,6.597662
18.111204,25,6.893901
13.401769,19,7.116803
4.299688,6,7.190423
5.15266,8,7.287968
2.54782,4,7.337821
1.086334,2,7.365733
3.613158,5,7.426692
8.314489,10,7.546413
20.745505,28,7.871066
22.232891,30,8.23951
6.448136,8,8.355563
9.285016,12,8.519464
15.583841,20,8.823997
2.146334,3,8.867006
21.386222,30,9.262355
2.086537,4,9.31789
24.080046,30,9.675836
5.033263,6,9.748196
21.949659,30,10.102585
10.132089,14,10.265268
6.384362,9,10.373097
7.078973,10,10.495515
19.444295,26,10.794434
3.497066,5,10.855876
11.865227,17,11.063806
7.262453,9,11.172026
1.880129,3,11.210963
17.147194,24,11.492339
9.878946,14,11.659525
